country,food_category,amount,type
Hong Kong SAR. China,Milk - inc. cheese,105.85,consumption
Hong Kong SAR. China,Wheat and Wheat Products,53.14,consumption
Hong Kong SAR. China,Rice,43.48,consumption
Hong Kong SAR. China,Soybeans,2.79,consumption
Hong Kong SAR. China,Nuts inc. Peanut Butter,13.81,consumption
French Polynesia,Pork,14.75,consumption
French Polynesia,Poultry,49.55,consumption
French Polynesia,Beef,30.9,consumption
French Polynesia,Lamb & Goat,2.83,consumption
French Polynesia,Fish,38.95,consumption
French Polynesia,Eggs,8.75,consumption
French Polynesia,Milk - inc. cheese,93.56,consumption
French Polynesia,Wheat and Wheat Products,68.67,consumption
French Polynesia,Rice,35.59,consumption
French Polynesia,Soybeans,0.77,consumption
French Polynesia,Nuts inc. Peanut Butter,2.34,consumption
Israel,Pork,1.99,consumption
Israel,Poultry,62.5,consumption
Israel,Beef,28.78,consumption
Israel,Lamb & Goat,1.87,consumption
Israel,Fish,22.18,consumption
Israel,Eggs,11.35,consumption
Israel,Milk - inc. cheese,193.6,consumption
Israel,Wheat and Wheat Products,110.86,consumption
Israel,Rice,16.81,consumption
Israel,Soybeans,0.1,consumption
Israel,Nuts inc. Peanut Butter,7.71,consumption
Switzerland,Pork,31.49,consumption
Switzerland,Poultry,16.38,consumption
Switzerland,Beef,21.26,consumption
Switzerland,Lamb & Goat,1.42,consumption
Switzerland,Fish,13.48,consumption
Switzerland,Eggs,10.53,consumption
Switzerland,Milk - inc. cheese,318.69,consumption
Switzerland,Wheat and Wheat Products,89.51,consumption
Switzerland,Rice,2.43,consumption
Switzerland,Soybeans,0.44,consumption
Switzerland,Nuts inc. Peanut Butter,9.27,consumption
Netherlands,Pork,36.36,consumption
Netherlands,Poultry,23.9,consumption
Netherlands,Beef,17.67,consumption
Netherlands,Lamb & Goat,0.94,consumption
Netherlands,Fish,18.64,consumption
Netherlands,Eggs,14.03,consumption
Netherlands,Milk - inc. cheese,341.47,consumption
Netherlands,Wheat and Wheat Products,70.17,consumption
Netherlands,Rice,2.93,consumption
Netherlands,Soybeans,0.12,consumption
Netherlands,Nuts inc. Peanut Butter,7.94,consumption
Kuwait,Pork,0,consumption
Kuwait,Poultry,53.61,consumption
Kuwait,Beef,13.03,consumption
Kuwait,Lamb & Goat,15.61,consumption
Kuwait,Fish,11.99,consumption
Kuwait,Eggs,12.6,consumption
Kuwait,Milk - inc. cheese,157.66,consumption
Kuwait,Wheat and Wheat Products,96.76,consumption
Kuwait,Rice,43.83,consumption
Kuwait,Soybeans,0.06,consumption
Kuwait,Nuts inc. Peanut Butter,5.23,consumption
United Kingdom,Pork,25.79,consumption
United Kingdom,Poultry,31.55,consumption
United Kingdom,Beef,18.12,consumption
United Kingdom,Lamb & Goat,4.49,consumption
United Kingdom,Fish,15.49,consumption
United Kingdom,Eggs,11.08,consumption
United Kingdom,Milk - inc. cheese,232.2,consumption
United Kingdom,Wheat and Wheat Products,98.63,consumption
United Kingdom,Rice,6.39,consumption
United Kingdom,Soybeans,0.05,consumption
United Kingdom,Nuts inc. Peanut Butter,4.18,consumption
Austria,Pork,52.56,consumption
Austria,Poultry,18.61,consumption
Austria,Beef,17.14,consumption
Austria,Lamb & Goat,1.16,consumption
Austria,Fish,12.16,consumption
Austria,Eggs,14.68,consumption
Austria,Milk - inc. cheese,258.09,consumption
Austria,Wheat and Wheat Products,81.1,consumption
Austria,Rice,3.7,consumption
Austria,Soybeans,2.06,consumption
Austria,Nuts inc. Peanut Butter,7.88,consumption
Oman,Pork,0.01,consumption
Oman,Poultry,31.51,consumption
Oman,Beef,15.1,consumption
Oman,Lamb & Goat,12.87,consumption
Oman,Fish,21.56,consumption
Oman,Eggs,7.8,consumption
Oman,Milk - inc. cheese,152.28,consumption
Oman,Wheat and Wheat Products,64.1,consumption
Oman,Rice,56.55,consumption
Oman,Soybeans,0.21,consumption
Oman,Nuts inc. Peanut Butter,1.68,consumption
Italy,Pork,40.28,consumption
Italy,Poultry,18.61,consumption
Italy,Beef,18.6,consumption
Italy,Lamb & Goat,0.92,consumption
Italy,Fish,15.6,consumption
Italy,Eggs,13.34,consumption
Italy,Milk - inc. cheese,246.88,consumption
Italy,Wheat and Wheat Products,146.37,consumption
Italy,Rice,5.74,consumption
Italy,Soybeans,0.01,consumption
Italy,Nuts inc. Peanut Butter,7.63,consumption
Bahamas,Pork,32.74,consumption
Bahamas,Poultry,45.74,consumption
Bahamas,Beef,19.92,consumption
Bahamas,Lamb & Goat,5.22,consumption
Bahamas,Fish,18.8,consumption
Bahamas,Eggs,6.2,consumption
Bahamas,Milk - inc. cheese,104.76,consumption
Bahamas,Wheat and Wheat Products,39.98,consumption
Bahamas,Rice,23.97,consumption
Bahamas,Soybeans,0.09,consumption
Bahamas,Nuts inc. Peanut Butter,4.03,consumption
Portugal,Pork,37.91,consumption
Portugal,Poultry,30.14,consumption
Portugal,Beef,16.45,consumption
Portugal,Lamb & Goat,2.38,consumption
Portugal,Fish,45.39,consumption
Portugal,Eggs,9.05,consumption
Portugal,Milk - inc. cheese,205.04,consumption
Portugal,Wheat and Wheat Products,94.3,consumption
Portugal,Rice,14.86,consumption
Portugal,Soybeans,0.01,consumption
Portugal,Nuts inc. Peanut Butter,3.91,consumption
Malta,Pork,34.24,consumption
Malta,Poultry,26.4,consumption
Malta,Beef,19.22,consumption
Malta,Lamb & Goat,1.19,consumption
Malta,Fish,24.58,consumption
Malta,Eggs,11.64,consumption
Malta,Milk - inc. cheese,190.06,consumption
Malta,Wheat and Wheat Products,139.58,consumption
Malta,Rice,4.96,consumption
Malta,Soybeans,0.05,consumption
Malta,Nuts inc. Peanut Butter,5.62,consumption
Armenia,Pork,9.67,consumption
Armenia,Poultry,13.35,consumption
Armenia,Beef,19.66,consumption
Armenia,Lamb & Goat,3.02,consumption
Armenia,Fish,4.36,consumption
Armenia,Eggs,11.69,consumption
Armenia,Milk - inc. cheese,209.03,consumption
Armenia,Wheat and Wheat Products,130.6,consumption
Armenia,Rice,3.18,consumption
Armenia,Soybeans,0,consumption
Armenia,Nuts inc. Peanut Butter,2.55,consumption
Slovenia,Pork,28.19,consumption
Slovenia,Poultry,23.46,consumption
Slovenia,Beef,18.43,consumption
Slovenia,Lamb & Goat,0.79,consumption
Slovenia,Fish,7.76,consumption
Slovenia,Eggs,9.36,consumption
Slovenia,Milk - inc. cheese,235.01,consumption
Slovenia,Wheat and Wheat Products,103.43,consumption
Slovenia,Rice,3.95,consumption
Slovenia,Soybeans,0.75,consumption
Slovenia,Nuts inc. Peanut Butter,5.28,consumption
Chile,Pork,24.68,consumption
Chile,Poultry,36.52,consumption
Chile,Beef,23.86,consumption
Chile,Lamb & Goat,0.42,consumption
Chile,Fish,7.65,consumption
Chile,Eggs,9.97,consumption
Chile,Milk - inc. cheese,116.11,consumption
Chile,Wheat and Wheat Products,104.74,consumption
Chile,Rice,8.85,consumption
Chile,Soybeans,0.04,consumption
Chile,Nuts inc. Peanut Butter,2.22,consumption
Venezuela,Pork,7.23,consumption
Venezuela,Poultry,39.28,consumption
Venezuela,Beef,25.89,consumption
Venezuela,Lamb & Goat,0.32,consumption
Venezuela,Fish,8.34,consumption
Venezuela,Eggs,5.63,consumption
Venezuela,Milk - inc. cheese,117.79,consumption
Venezuela,Wheat and Wheat Products,49.17,consumption
Venezuela,Rice,23.39,consumption
Venezuela,Soybeans,0,consumption
Venezuela,Nuts inc. Peanut Butter,0.35,consumption
Belgium,Pork,38.65,consumption
Belgium,Poultry,12.2,consumption
Belgium,Beef,15.63,consumption
Belgium,Lamb & Goat,1.32,consumption
Belgium,Fish,18.97,consumption
Belgium,Eggs,12.59,consumption
Belgium,Milk - inc. cheese,236.19,consumption
Belgium,Wheat and Wheat Products,111.91,consumption
Belgium,Rice,8.61,consumption
Belgium,Soybeans,0.07,consumption
Belgium,Nuts inc. Peanut Butter,7.32,consumption
Germany,Pork,51.81,consumption
Germany,Poultry,17.75,consumption
Germany,Beef,13.16,consumption
Germany,Lamb & Goat,0.73,consumption
Germany,Fish,11.16,consumption
Germany,Eggs,12.2,consumption
Germany,Milk - inc. cheese,258.7,consumption
Germany,Wheat and Wheat Products,83.41,consumption
Germany,Rice,3.34,consumption
Germany,Soybeans,0.88,consumption
Germany,Nuts inc. Peanut Butter,7.96,consumption
Russia,Pork,25.66,consumption
Russia,Poultry,27.5,consumption
Russia,Beef,16.98,consumption
Russia,Lamb & Goat,1.4,consumption
Russia,Fish,20.82,consumption
Russia,Eggs,15.43,consumption
Russia,Milk - inc. cheese,163.57,consumption
Russia,Wheat and Wheat Products,130.99,consumption
Russia,Rice,4.71,consumption
Russia,Soybeans,0.05,consumption
Russia,Nuts inc. Peanut Butter,1.62,consumption
Croatia,Pork,42.79,consumption
Croatia,Poultry,8.52,consumption
Croatia,Beef,12.41,consumption
Croatia,Lamb & Goat,1.71,consumption
Croatia,Fish,15.83,consumption
Croatia,Eggs,8.48,consumption
Croatia,Milk - inc. cheese,231.02,consumption
Croatia,Wheat and Wheat Products,106.59,consumption
Croatia,Rice,2.64,consumption
Croatia,Soybeans,0,consumption
Croatia,Nuts inc. Peanut Butter,3.88,consumption
Belarus,Pork,40.37,consumption
Belarus,Poultry,31.29,consumption
Belarus,Beef,17.11,consumption
Belarus,Lamb & Goat,0.11,consumption
Belarus,Fish,15.75,consumption
Belarus,Eggs,15.86,consumption
Belarus,Milk - inc. cheese,133.73,consumption
Belarus,Wheat and Wheat Products,60.48,consumption
Belarus,Rice,3.17,consumption
Belarus,Soybeans,0.3,consumption
Belarus,Nuts inc. Peanut Butter,3.36,consumption
Spain,Pork,48.92,consumption
Spain,Poultry,28.63,consumption
Spain,Beef,12.15,consumption
Spain,Lamb & Goat,2.16,consumption
Spain,Fish,28.83,consumption
Spain,Eggs,13.32,consumption
Spain,Milk - inc. cheese,164.29,consumption
